"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"2355","8","GO Biological Process","","Response to external stimulus","0.0037","MIF|HGF|FABP4|PPARG|TNFRSF11B|NOS3|LEP|LPL","11732","11944|11929|11926|11917|11947|11935|11932|11941","4.98E-6","","GO:0009605","0.53018469724475","0"
"4736","10","GO Biological Process","","Negative regulation of cellular process","0.004","CETP|MIF|HGF|FABP4|PPARG|FABP5|TNFRSF11B|NOS3|LEP|LPL","11732","11920|11944|11929|11926|11917|11923|11947|11935|11932|11941","5.59E-6","","GO:0048523","0.5228028616070467","0"
"64","3","GO Biological Process","","Regulation of cholesterol transport","0.0041","CETP|PPARG|LEP","11732","11920|11917|11932","6.08E-6","","GO:0032374","0.5204648266712133","0"
"65","3","GO Biological Process","","Regulation of cellular response to insulin stimulus","0.0041","PPARG|LEP|LPL","11732","11917|11932|11941","6.35E-6","","GO:1900076","0.5204648266712133","0"
"1645","7","GO Biological Process","","Small molecule metabolic process","0.0042","CETP|MIF|PPARG|FABP5|NOS3|LEP|LPL","11732","11920|11944|11917|11923|11935|11932|11941","7.0E-6","","GO:0044281","0.5181831354466137","0"
"2079","8","COMPARTMENTS","","Extracellular region","0.0044","CETP|MIF|HGF|FABP4|FABP5|TNFRSF11B|LEP|LPL","11732","11920|11944|11929|11926|11923|11947|11932|11941","1.92E-6","","GOCC:0005576","0.5137783596711939","0"
"13","2","WikiPathways","","Familial hyperlipidemia type 3","0.0046","CETP|LPL","11732","11920|11941","2.96E-5","","WP5110","0.5095694176862333","0"
"567","5","GO Biological Process","","Regulation of system process","0.0047","HGF|PPARG|FABP5|NOS3|LEP","11732","11929|11917|11923|11935|11932","8.08E-6","","GO:0044057","0.507533089656553","0"
"17","2","WikiPathways","","Metabolic pathway of LDL, HDL and TG, including diseases","0.005","CETP|LPL","11732","11920|11941","4.82E-5","","WP4522","0.5016743796868314","0"
"18","2","WikiPathways","","Fatty acid transporters","0.005","FABP4|FABP5","11732","11926|11923","5.35E-5","","WP5061","0.5016743796868314","0"
"18","2","WikiPathways","","Familial  hyperlipidemia type 1","0.005","CETP|LPL","11732","11920|11941","5.35E-5","","WP5108","0.5016743796868314","0"
"16","2","WikiPathways","","Familial hyperlipidemia type 2","0.005","CETP|LPL","11732","11920|11941","4.31E-5","","WP5109","0.5016743796868314","0"
"15","2","WikiPathways","","Familial hyperlipidemia type 5","0.005","CETP|LPL","11732","11920|11941","3.83E-5","","WP5112","0.5016743796868314","0"
"380","4","WikiPathways","","Fatty Acids and Lipoproteins Transport in Hepatocytes","0.005","CETP|FABP4|LEP|LPL","11732","11920|11926|11932|11941","4.2E-5","","WP5323","0.5016743796868314","0"
"22","2","WikiPathways","","Transcription factor regulation in adipogenesis","0.0051","PPARG|LEP","11732","11917|11932","7.76E-5","","WP3599","0.49979935596180813","0"
"22","2","WikiPathways","","Familial hyperlipidemia type 4","0.0051","CETP|LPL","11732","11920|11941","7.76E-5","","WP5111","0.49979935596180813","0"
"75","3","GO Biological Process","","Regulation of tissue remodeling","0.0054","PPARG|TNFRSF11B|LEP","11732","11917|11947|11932","9.62E-6","","GO:0034103","0.4943872770274498","0"
"25","2","WikiPathways","","Differentiation of white and brown adipocyte","0.0055","PPARG|LEP","11732","11917|11932","9.86E-5","","WP2895","0.4926498777509787","0"
"29","2","WikiPathways","","Statin inhibition of cholesterol production","0.0068","CETP|LPL","11732","11920|11941","1.3E-4","","WP430","0.4725600051906597","0"
"10","2","GO Biological Process","","Ovulation from ovarian follicle","0.0074","NOS3|LEP","11732","11935|11932","1.86E-5","","GO:0001542","0.4645536378381213","0"
"1146","6","GO Biological Process","","Positive regulation of gene expression","0.0074","MIF|HGF|PPARG|NOS3|LEP|LPL","11732","11944|11929|11917|11935|11932|11941","1.41E-5","","GO:0010628","0.4645536378381213","0"
"10","2","GO Biological Process","","Negative regulation of muscle adaptation","0.0074","PPARG|NOS3","11732","11917|11935","1.86E-5","","GO:0014745","0.4645536378381213","0"
"638","5","GO Biological Process","","Regulation of defense response","0.0074","HGF|FABP4|PPARG|LEP|LPL","11732","11929|11926|11917|11932|11941","1.43E-5","","GO:0031347","0.4645536378381213","0"
"89","3","GO Biological Process","","Positive regulation of lipid transport","0.0074","CETP|MIF|PPARG","11732","11920|11944|11917","1.58E-5","","GO:0032370","0.4645536378381213","0"
"10","2","GO Biological Process","","Response to vitamin E","0.0074","PPARG|LEP","11732","11917|11932","1.86E-5","","GO:0033197","0.4645536378381213","0"
"9","2","GO Biological Process","","Very-low-density lipoprotein particle remodeling","0.0074","CETP|LPL","11732","11920|11941","1.55E-5","","GO:0034372","0.4645536378381213","0"
"9","2","GO Biological Process","","Positive regulation of peroxisome proliferator activated receptor signaling pathway","0.0074","FABP5|LEP","11732","11923|11932","1.55E-5","","GO:0035360","0.4645536378381213","0"
"89","3","GO Biological Process","","Cholesterol homeostasis","0.0074","CETP|FABP4|LPL","11732","11920|11926|11941","1.58E-5","","GO:0042632","0.4645536378381213","0"
"288","4","GO Biological Process","","Regulation of angiogenesis","0.0074","HGF|PPARG|NOS3|LEP","11732","11929|11917|11935|11932","1.43E-5","","GO:0045765","0.4645536378381213","0"
"663","5","GO Biological Process","","Regulation of protein kinase activity","0.0074","MIF|HGF|FABP4|PPARG|LEP","11732","11944|11929|11926|11917|11932","1.72E-5","","GO:0045859","0.4645536378381213","0"
"97","3","GO Biological Process","","Positive regulation of cold-induced thermogenesis","0.0074","FABP4|FABP5|LEP","11732","11926|11923|11932","2.03E-5","","GO:0120162","0.4645536378381213","0"
"10","2","GO Biological Process","","Positive regulation of chemokine (C-X-C motif) ligand 2 production","0.0074","MIF|LPL","11732","11944|11941","1.86E-5","","GO:2000343","0.4645536378381213","0"
"325","4","GO Biological Process","","Fatty acid metabolic process","0.0075","MIF|PPARG|LEP|LPL","11732","11944|11917|11932|11941","2.29E-5","","GO:0006631","0.4632826710513511","0"
"101","3","GO Biological Process","","Positive regulation of tumor necrosis factor production","0.0075","MIF|LEP|LPL","11732","11944|11932|11941","2.28E-5","","GO:0032760","0.4632826710513511","0"
"330","4","GO Biological Process","","Regulation of small molecule metabolic process","0.0076","PPARG|FABP5|NOS3|LEP","11732","11917|11923|11935|11932","2.43E-5","","GO:0062012","0.46202853875727956","0"
"13","2","GO Biological Process","","Negative regulation of macrophage derived foam cell differentiation","0.0089","CETP|PPARG","11732","11920|11917","2.96E-5","","GO:0010745","0.44707739505115834","0"
"48","3","GO Molecular Function","","Fatty acid binding","0.0091","FABP4|PPARG|FABP5","11732","11926|11917|11923","2.65E-6","","GO:0005504","0.4449731839233849","0"
"170","4","GO Molecular Function","","Carboxylic acid binding","0.0091","FABP4|PPARG|FABP5|NOS3","11732","11926|11917|11923|11935","1.84E-6","","GO:0031406","0.4449731839233849","0"
"5","2","GO Molecular Function","","Triglyceride binding","0.0098","CETP|LPL","11732","11920|11941","5.94E-6","","GO:0017129","0.4379562258236686","0"
"2103","7","GO Biological Process","","Regulation of localization","0.0104","CETP|MIF|PPARG|FABP5|NOS3|LEP|LPL","11732","11920|11944|11917|11923|11935|11932|11941","3.56E-5","","GO:0032879","0.432329683368553","0"
"15","2","GO Biological Process","","Regulation of sequestering of triglyceride","0.0107","PPARG|LPL","11732","11917|11941","3.83E-5","","GO:0010889","0.42963702028808565","0"
"371","4","GO Biological Process","","Regulation of inflammatory response","0.0107","HGF|FABP4|PPARG|LPL","11732","11929|11926|11917|11941","3.83E-5","","GO:0050727","0.42963702028808565","0"
"47","3","STRING Clusters","","Regulation of lipid storage, and PPAR signaling pathway","0.0114","FABP4|PPARG|FABP5","11732","11926|11917|11923","2.5E-6","","CL:9987","0.42363683012179926","0"
"16","2","GO Biological Process","","White fat cell differentiation","0.0117","FABP4|PPARG","11732","11926|11917","4.31E-5","","GO:0050872","0.4211773255042211","0"
"1405","6","GO Biological Process","","Regulation of phosphate metabolic process","0.012","MIF|HGF|FABP4|PPARG|NOS3|LEP","11732","11944|11929|11926|11917|11935|11932","4.5E-5","","GO:0019220","0.41878009356493767","0"
"819","5","GO Biological Process","","Carboxylic acid metabolic process","0.0121","MIF|PPARG|NOS3|LEP|LPL","11732","11944|11917|11935|11932|11941","4.72E-5","","GO:0019752","0.4179943164084972","0"
"17","2","GO Biological Process","","Regulation of cholesterol storage","0.0122","PPARG|LPL","11732","11917|11941","4.82E-5","","GO:0010885","0.41721500662707606","0"
"18","2","GO Biological Process","","Negative regulation of glucose transmembrane transport","0.0132","FABP5|LEP","11732","11923|11932","5.35E-5","","GO:0010829","0.409755591629085","0"
"135","3","GO Biological Process","","Regulation of fat cell differentiation","0.0132","PPARG|LEP|LPL","11732","11917|11932|11941","5.32E-5","","GO:0045598","0.409755591629085","0"
"18","2","GO Biological Process","","Cellular response to low-density lipoprotein particle stimulus","0.0132","PPARG|LPL","11732","11917|11941","5.35E-5","","GO:0071404","0.409755591629085","0"
"145","3","GO Biological Process","","Regulation of nervous system process","0.0147","HGF|FABP5|NOS3","11732","11929|11923|11935","6.55E-5","","GO:0031644","0.3995645171881883","0"
"954","5","TISSUES","","Connective tissue","0.0148","HGF|FABP4|PPARG|LEP|LPL","11732","11929|11926|11917|11932|11941","9.75E-5","","BTO:0000421","0.39892257843149265","0"
"60","3","Monarch Phenotype","","HMG CoA reductase inhibitor use measurement","0.0152","PPARG|NOS3|LPL","11732","11917|11935|11941","5.04E-6","","EFO:0009932","0.39639747935065084","0"
"54","3","Monarch Phenotype","","Hypercholesterolemia","0.0152","CETP|PPARG|LPL","11732","11920|11917|11941","3.72E-6","","HP:0003124","0.39639747935065084","0"
"47","3","Monarch Phenotype","","Abnormality of lipoprotein cholesterol concentration","0.0152","CETP|PPARG|LPL","11732","11920|11917|11941","2.5E-6","","HP:0010979","0.39639747935065084","0"
"1525","6","GO Biological Process","","Positive regulation of signal transduction","0.0155","MIF|HGF|PPARG|FABP5|NOS3|LEP","11732","11944|11929|11917|11923|11935|11932","7.14E-5","","GO:0009967","0.39454688746783106","0"
"21","2","GO Biological Process","","Negative regulation of lipid storage","0.0155","PPARG|LEP","11732","11917|11932","7.12E-5","","GO:0010888","0.39454688746783106","0"
"151","3","GO Biological Process","","Regulation of interleukin-6 production","0.0156","HGF|LEP|LPL","11732","11929|11932|11941","7.37E-5","","GO:0032675","0.3939379747330727","0"
"22","2","GO Biological Process","","Cellular response to vitamin","0.0162","PPARG|LEP","11732","11917|11932","7.76E-5","","GO:0071295","0.39036450898534086","0"
"920","5","GO Biological Process","","Regulation of anatomical structure morphogenesis","0.0163","HGF|PPARG|TNFRSF11B|NOS3|LEP","11732","11929|11917|11947|11935|11932","8.21E-5","","GO:0022603","0.3897818265069008","0"
"912","5","GO Biological Process","","Positive regulation of phosphate metabolic process","0.0163","MIF|HGF|PPARG|NOS3|LEP","11732","11944|11929|11917|11935|11932","7.88E-5","","GO:0045937","0.3897818265069008","0"
"1582","6","GO Biological Process","","Regulation of cell differentiation","0.0172","CETP|HGF|PPARG|TNFRSF11B|LEP|LPL","11732","11920|11929|11917|11947|11932|11941","8.78E-5","","GO:0045595","0.38469301727519917","0"
"933","5","GO Biological Process","","Negative regulation of developmental process","0.0172","CETP|PPARG|TNFRSF11B|NOS3|LEP","11732","11920|11917|11947|11935|11932","8.77E-5","","GO:0051093","0.38469301727519917","0"
"24","2","GO Biological Process","","Negative regulation of tissue remodeling","0.0173","PPARG|TNFRSF11B","11732","11917|11947","9.14E-5","","GO:0034104","0.38414411368618095","0"
"72","3","Monarch Phenotype","","Hypertriglyceridemia","0.0174","PPARG|LEP|LPL","11732","11917|11932|11941","8.54E-6","","HP:0002155","0.3835983738241769","0"
"1612","6","GO Biological Process","","Negative regulation of response to stimulus","0.018","MIF|HGF|PPARG|NOS3|LEP|LPL","11732","11944|11929|11917|11935|11932|11941","9.76E-5","","GO:0048585","0.3803883849294574","0"
"482","4","GO Biological Process","","Positive regulation of cytokine production","0.0189","MIF|HGF|LEP|LPL","11732","11944|11929|11932|11941","1.0E-4","","GO:0001819","0.37576865876902443","0"
"172","3","GO Biological Process","","Response to temperature stimulus","0.0192","PPARG|NOS3|LPL","11732","11917|11935|11941","1.1E-4","","GO:0009266","0.3742775160785243","0"
"2492","7","GO Biological Process","","Regulation of developmental process","0.0192","CETP|HGF|PPARG|TNFRSF11B|NOS3|LEP|LPL","11732","11920|11929|11917|11947|11935|11932|11941","1.1E-4","","GO:0050793","0.3742775160785243","0"
"493","4","GO Biological Process","","Circulatory system process","0.0198","PPARG|FABP5|NOS3|LEP","11732","11917|11923|11935|11932","1.1E-4","","GO:0003013","0.3713638829936047","0"
"80","3","Monarch Phenotype","","Pancreatitis","0.0202","MIF|PPARG|LPL","11732","11944|11917|11941","1.16E-5","","HP:0001733","0.3694701077873964","0"
"502","4","GO Biological Process","","Cellular response to lipid","0.0208","PPARG|NOS3|LEP|LPL","11732","11917|11935|11932|11941","1.2E-4","","GO:0071396","0.3666986239619243","0"
"28","2","GO Biological Process","","Negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","0.0208","HGF|NOS3","11732","11929|11935","1.2E-4","","GO:1902042","0.3666986239619243","0"
"3654","8","GO Biological Process","","Regulation of biological quality","0.0213","CETP|FABP4|PPARG|FABP5|TNFRSF11B|NOS3|LEP|LPL","11732","11920|11926|11917|11923|11947|11935|11932|11941","1.4E-4","","GO:0065008","0.364449453982341","0"
"55","2","WikiPathways","","Overlap between signal transduction pathways contributing to LMNA laminopathies","0.0217","PPARG|TNFRSF11B","11732","11917|11947","4.4E-4","","WP4879","0.36268781053624966","0"
"1035","5","GO Biological Process","","Negative regulation of multicellular organismal process","0.0222","HGF|PPARG|TNFRSF11B|NOS3|LEP","11732","11929|11917|11947|11935|11932","1.4E-4","","GO:0051241","0.36053086979601234","0"
"191","3","GO Biological Process","","Regulation of blood pressure","0.0225","PPARG|NOS3|LEP","11732","11917|11935|11932","1.5E-4","","GO:0008217","0.35925990300924215","0"
"194","3","GO Biological Process","","Positive regulation of peptidyl-tyrosine phosphorylation","0.0228","MIF|HGF|LEP","11732","11944|11929|11932","1.5E-4","","GO:0050731","0.3580057707151706","0"
"196","3","GO Biological Process","","Glucose homeostasis","0.0233","PPARG|FABP5|LEP","11732","11917|11923|11932","1.6E-4","","GO:0042593","0.35595177251581406","0"
"1763","6","GO Biological Process","","Regulation of transport","0.0234","CETP|MIF|PPARG|FABP5|NOS3|LEP","11732","11920|11944|11917|11923|11935|11932","1.6E-4","","GO:0051049","0.3555462660975924","0"
"11","2","STRING Clusters","","Negative regulation of cholesterol storage, and Retinoid X receptor/HNF4","0.0239","PPARG|FABP5","11732","11917|11923","2.2E-5","","CL:10013","0.35354438172196007","0"
"2692","7","GO Biological Process","","Response to organic substance","0.0256","HGF|FABP4|PPARG|TNFRSF11B|NOS3|LEP|LPL","11732","11929|11926|11917|11947|11935|11932|11941","1.8E-4","","GO:0010033","0.34703816530737586","0"
"3847","8","GO Biological Process","","Positive regulation of metabolic process","0.0281","MIF|HGF|FABP4|PPARG|FABP5|NOS3|LEP|LPL","11732","11944|11929|11926|11917|11923|11935|11932|11941","2.0E-4","","GO:0009893","0.3382156234991418","0"
"37","2","GO Biological Process","","Regulation of cholesterol efflux","0.0291","CETP|PPARG","11732","11920|11917","2.1E-4","","GO:0010874","0.3349046006941414","0"
"38","2","GO Biological Process","","Positive regulation of cholesterol transport","0.03","CETP|PPARG","11732","11920|11917","2.2E-4","","GO:0032376","0.33202055223809374","0"
"38","2","GO Biological Process","","Triglyceride homeostasis","0.03","CETP|LPL","11732","11920|11941","2.2E-4","","GO:0070328","0.33202055223809374","0"
"68","2","WikiPathways","","Sterol regulatory element-binding proteins (SREBP) signaling","0.0308","PPARG|LPL","11732","11917|11941","6.7E-4","","WP1982","0.32952868200613983","0"
"40","2","GO Biological Process","","Regulation of p38MAPK cascade","0.0317","HGF|LEP","11732","11929|11932","2.4E-4","","GO:1900744","0.3268015481029142","0"
"72","2","WikiPathways","","Cholesterol metabolism","0.0325","CETP|LPL","11732","11920|11941","7.5E-4","","WP5304","0.3244416601214937","0"
"230","3","GO Biological Process","","Negative regulation of apoptotic signaling pathway","0.0328","MIF|HGF|NOS3","11732","11944|11929|11935","2.5E-4","","GO:2001234","0.32357164845132724","0"
"2804","7","TISSUES","","Internal female genital organ","0.0331","MIF|HGF|PPARG|FABP5|NOS3|LEP|LPL","11732","11944|11929|11917|11923|11935|11932|11941","2.3E-4","","BTO:0003099","0.32270955808992224","0"
"76","2","WikiPathways","","Leptin signaling pathway","0.0342","NOS3|LEP","11732","11935|11932","8.3E-4","","WP2034","0.3196140620796903","0"
"4010","8","GO Biological Process","","Response to chemical","0.0346","MIF|HGF|FABP4|PPARG|TNFRSF11B|NOS3|LEP|LPL","11732","11944|11929|11926|11917|11947|11935|11932|11941","2.7E-4","","GO:0042221","0.3185130542795523","0"
"80","2","WikiPathways","","Clock-controlled autophagy in bone metabolism","0.0358","TNFRSF11B|LEP","11732","11947|11932","9.2E-4","","WP5205","0.3152848232878812","0"
"7090","10","TISSUES","","Urogenital system","0.0365","MIF|HGF|FABP4|PPARG|FABP5|TNFRSF11B|NOS3|LEP|MOK|LPL","11732","11944|11929|11926|11917|11923|11947|11935|11932|11938|11941","2.7E-4","","BTO:0003091","0.31345129648646913","0"
"1499","6","GO Molecular Function","","Signaling receptor binding","0.0378","MIF|HGF|FABP4|TNFRSF11B|LEP|LPL","11732","11944|11929|11926|11947|11932|11941","6.48E-5","","GO:0005102","0.3101375993623957","0"
"17","2","GO Molecular Function","","Long-chain fatty acid transporter activity","0.0378","FABP4|FABP5","11732","11926|11923","4.82E-5","","GO:0005324","0.3101375993623957","0"
"796","5","GO Molecular Function","","Lipid binding","0.0378","CETP|FABP4|PPARG|FABP5|LPL","11732","11920|11926|11917|11923|11941","4.12E-5","","GO:0008289","0.3101375993623957","0"
"15","2","GO Molecular Function","","Long-chain fatty acid binding","0.0378","FABP4|PPARG","11732","11926|11917","3.83E-5","","GO:0036041","0.3101375993623957","0"
"139","3","GO Molecular Function","","Organic acid binding","0.0378","PPARG|FABP5|NOS3","11732","11917|11923|11935","5.79E-5","","GO:0043177","0.3101375993623957","0"
"46","2","GO Biological Process","","Positive chemotaxis","0.0395","MIF|HGF","11732","11944|11929","3.1E-4","","GO:0050918","0.3059722310569591","0"
"2019","6","GO Biological Process","","Cellular response to organic substance","0.0418","HGF|FABP4|PPARG|NOS3|LEP|LPL","11732","11929|11926|11917|11935|11932|11941","3.4E-4","","GO:0071310","0.30061343608795416","0"
"1244","5","TISSUES","","Placenta","0.0433","HGF|PPARG|NOS3|LEP|LPL","11732","11929|11917|11935|11932|11941","3.4E-4","","BTO:0001078","0.29727517245816126","0"
"262","3","GO Biological Process","","Vascular process in circulatory system","0.0434","FABP5|NOS3|LEP","11732","11923|11935|11932","3.7E-4","","GO:0003018","0.29705675112962093","0"
"668","4","GO Biological Process","","Regulation of MAPK cascade","0.0434","MIF|HGF|PPARG|LEP","11732","11944|11929|11917|11932","3.6E-4","","GO:0043408","0.29705675112962093","0"
"50","2","GO Biological Process","","Regulation of bone remodeling","0.0434","TNFRSF11B|LEP","11732","11947|11932","3.7E-4","","GO:0046850","0.29705675112962093","0"
"163","3","GO Molecular Function","","Lipid transporter activity","0.0454","CETP|FABP4|FABP5","11732","11920|11926|11923","9.21E-5","","GO:0005319","0.29279091243552674","0"
"270","3","GO Biological Process","","Rhythmic process","0.0464","PPARG|NOS3|LEP","11732","11917|11935|11932","4.0E-4","","GO:0048511","0.2907279636463998","0"
"7","2","DISEASES","","Glucose intolerance","0.0467","PPARG|LEP","11732","11917|11932","1.02E-5","","DOID:10603","0.29011774281938496","0"
"53","2","GO Biological Process","","Response to cold","0.0477","PPARG|LPL","11732","11917|11941","4.1E-4","","GO:0009409","0.28811161684630654","0"
"53","2","GO Biological Process","","Negative regulation of smooth muscle cell proliferation","0.0477","PPARG|NOS3","11732","11917|11935","4.1E-4","","GO:0048662","0.28811161684630654","0"
"54","2","GO Biological Process","","Negative regulation of mitochondrion organization","0.0487","HGF|PPARG","11732","11929|11917","4.3E-4","","GO:0010823","0.2861471147617888","0"
