"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"6357","73","GO Biological Process","","Cellular response to stimulus","1.24E-16","TBX21|MIF|OSM|RIPK3|AMH|HGF|MPO|CCR7|KLB|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|NCR1|CCR2|CCR5|MERTK|F2RL1|NOS3|PCSK9|ADORA2B|PPARGC1B|ANGPT2|SLC2A4|CD28|RORC|CD86|NLRP3|CCR6|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|CYP2J2|CARD9|ADA|ABCA1|PRKCZ|GATA3|LY86|CCM2|LILRB4|NRG4|ADM2|TRPM2|CD8A|SENP1|TNF|HMGA1|TRPV4|TRIB3|MME|DOCK2|AGAP2|LDLR|GIPR|SARM1|CCL5|CCL4|ACACA|DAPK2|TLR5|SOCS7","55687","17893|17803|17935|18121|17869|18130|17785|17944|17890|17821|18085|17812|17956|17968|18049|18040|17938|17896|17929|18124|18133|18070|17965|18013|18007|17791|17776|17908|17941|18067|17992|18019|17857|18136|18079|18145|17953|17866|18148|18151|17830|17917|17962|17986|18139|17926|17923|17983|17899|17905|18088|18001|18118|17881|17773|17806|18091|18010|17914|17875|18097|18109|17950|18082|17878|17818|18058|17989|18100|17920|17836|17845|17848","8.69E-20","","GO:0051716","1.5906578314837765","0"
"2749","50","GO Biological Process","","Regulation of multicellular organismal process","3.44E-16","TBX21|MIF|OSM|RIPK3|HGF|CYP27B1|CCR7|RORA|WNT5A|PPARGC1A|PDE3B|PPARG|NRG1|ACE|CCR2|MERTK|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|PPARGC1B|ANGPT2|CD28|CD86|NLRP3|GATA2|CX3CR1|TLR9|CD3E|SGK1|AIM2|CYP2J2|CARD9|ADA|ABCA1|PRKCZ|GATA3|XDH|IRF4|CCM2|LILRB4|ADM2|ACE2|TNF|TRPV4|MME|AGAP2|LDLR|TLR5","55687","17893|17803|17935|18121|18130|17872|17944|17821|17812|17956|18049|18040|17938|17896|18124|18070|17965|18025|18013|18007|17791|17776|17908|18067|18019|17857|17842|18145|18148|18151|17917|17962|17986|18139|17926|17923|17983|17899|17800|18103|18088|18001|17881|17887|18010|17875|18109|18082|17878|17845","2.63E-19","","GO:0051239","1.546344155742847","0"
"4010","59","GO Biological Process","","Response to chemical","3.66E-16","TBX21|MIF|OSM|USP18|RIPK3|AMH|HGF|MPO|CYP27B1|CCR7|KLB|RORA|WNT5A|PPARGC1A|PDE3B|PPARG|NRG1|ACE|CCR2|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|CCR6|GATA2|NR3C2|CX3CR1|STAT4|DPP4|TLR9|NR5A2|SGK1|AIM2|CYP2J2|CARD9|ADA|ABCA1|PRKCZ|GATA3|LY86|LILRB4|TRPM2|TNF|TRPV4|TRIB3|MME|DOCK2|LDLR|GIPR|SARM1|CCL5|CCL4|ACACA|TLR5","55687","17893|17803|17935|17971|18121|17869|18130|17785|17872|17944|17890|17821|17812|17956|18049|18040|17938|17896|18124|18133|18013|18007|17776|17908|17941|17992|18019|17857|18136|17842|18079|18145|17953|17866|18148|17830|17917|17962|17986|18139|17926|17923|17983|17899|17905|18001|17773|18010|17875|18097|18109|17950|17878|17818|18058|17989|18100|17920|17845","3.03E-19","","GO:0042221","1.5436518914605588","0"
"2121","44","GO Biological Process","","Immune system process","1.18E-15","TBX21|MIF|OSM|RIPK3|MPO|CYP27B1|CCR7|RORA|NLRC5|WNT5A|PPARG|ACE|NCR1|CCR2|CCR5|MERTK|F2RL1|ADORA2B|CD248|CD28|RORC|CD86|NLRP3|CCR6|GATA2|CX3CR1|DPP4|TLR9|CD3E|AIM2|CARD9|ADA|GATA3|LY86|IRF4|LILRB4|TRPM2|CD8A|TNF|DOCK2|SARM1|CCL5|CCL4|TLR5","55687","17893|17803|17935|18121|17785|17872|17944|17821|18085|17812|18040|17896|17929|18124|18133|18070|17965|17791|18115|18067|17992|18019|17857|18136|17842|18145|17866|18148|18151|17962|18139|17926|17899|17905|18103|18001|17773|17806|18010|17950|18058|17989|18100|17845","1.09E-18","","GO:0002376","1.4928117992693875","0"
"1693","40","GO Biological Process","","Positive regulation of cell communication","1.18E-15","MIF|OSM|RIPK3|HGF|CYP27B1|CCR7|KLB|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|S100B|CCR2|F2RL1|FABP5|NOS3|ADORA2B|SLC2A4|CD28|CD86|NR3C2|CX3CR1|TLR9|CD3E|CARD9|ADA|PRKCZ|GATA3|XDH|LY86|TRPM2|TNF|TRPV4|MME|AGAP2|GIPR|CCL5|CCL4|TLR5","55687","17803|17935|18121|18130|17872|17944|17890|18085|17812|17998|18040|17938|17977|18124|17965|18025|18013|17791|17941|18067|18019|18079|18145|18148|18151|18139|17926|17983|17899|17800|17905|17773|18010|17875|18109|18082|17818|17989|18100|17845","1.06E-18","","GO:0010647","1.4928117992693875","0"
"1698","40","GO Biological Process","","Positive regulation of signaling","1.18E-15","MIF|OSM|RIPK3|HGF|CYP27B1|CCR7|KLB|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|S100B|CCR2|F2RL1|FABP5|NOS3|ADORA2B|SLC2A4|CD28|CD86|NR3C2|CX3CR1|TLR9|CD3E|CARD9|ADA|PRKCZ|GATA3|XDH|LY86|TRPM2|TNF|TRPV4|MME|AGAP2|GIPR|CCL5|CCL4|TLR5","55687","17803|17935|18121|18130|17872|17944|17890|18085|17812|17998|18040|17938|17977|18124|17965|18025|18013|17791|17941|18067|18019|18079|18145|18148|18151|18139|17926|17983|17899|17800|17905|17773|18010|17875|18109|18082|17818|17989|18100|17845","1.17E-18","","GO:0023056","1.4928117992693875","0"
"1726","40","GO Biological Process","","Regulation of intracellular signal transduction","1.9E-15","MIF|OSM|RIPK3|HGF|CCR7|KLB|RORA|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|S100B|F2RL1|ADORA2B|CD28|CD86|NLRP3|NR3C2|CX3CR1|TLR9|CD3E|SGK1|CARD9|ADA|ABCA1|PRKCZ|GATA3|XDH|LILRB4|ACE2|TNF|TRPV4|DOCK2|AGAP2|GIPR|CCL5|CCL4|DAPK2","55687","17803|17935|18121|18130|17944|17890|17821|17812|17998|17968|18049|18040|17938|17977|17965|17791|18067|18019|17857|18079|18145|18148|18151|17917|18139|17926|17923|17983|17899|17800|18001|17887|18010|17875|17950|18082|17818|17989|18100|17836","2.06E-18","","GO:1902531","1.4721246399047172","0"
"4714","62","GO Biological Process","","Signal transduction","3.74E-15","MIF|OSM|RIPK3|AMH|HGF|CCR7|KLB|RORA|NLRC5|WNT5A|SFRP5|PDE3B|PPARG|NRG1|NCR1|CCR2|CCR5|MERTK|F2RL1|NOS3|ADORA2B|PPARGC1B|ANGPT2|CD28|RORC|CD86|NLRP3|CCR6|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|CARD9|ADA|ABCA1|PRKCZ|GATA3|LY86|CCM2|LILRB4|NRG4|ADM2|TRPM2|CD8A|SENP1|TNF|TRPV4|TRIB3|DOCK2|AGAP2|GIPR|SARM1|CCL5|CCL4|DAPK2|TLR5|SOCS7","55687","17803|17935|18121|17869|18130|17944|17890|17821|18085|17812|17968|18049|18040|17938|17929|18124|18133|18070|17965|18013|17791|17776|17908|18067|17992|18019|17857|18136|18079|18145|17953|17866|18148|18151|17830|17917|17962|18139|17926|17923|17983|17899|17905|18088|18001|18118|17881|17773|17806|18091|18010|17875|18097|17950|18082|17818|18058|17989|18100|17836|17845|17848","4.29E-18","","GO:0007165","1.442712839779952","0"
"874","30","GO Biological Process","","Positive regulation of immune system process","4.48E-15","TBX21|MIF|CCR7|NLRC5|WNT5A|CCR2|F2RL1|ADORA2B|PPARGC1B|CD28|CD86|NLRP3|CCR6|GATA2|CX3CR1|DPP4|TLR9|CD3E|AIM2|CARD9|ADA|PRKCZ|GATA3|LILRB4|CD8A|TNF|TRPV4|CCL5|CCL4|DAPK2","55687","17893|17803|17944|18085|17812|18124|17965|17791|17776|18067|18019|17857|18136|17842|18145|17866|18148|18151|17962|18139|17926|17983|17899|18001|17806|18010|17875|17989|18100|17836","5.42E-18","","GO:0002684","1.4348721986001856","0"
"739","28","GO Biological Process","","Regulation of cytokine production","6.07E-15","TBX21|MIF|OSM|RIPK3|HGF|CCR7|RORA|WNT5A|CCR2|MERTK|F2RL1|ADORA2B|CD28|CD86|NLRP3|CX3CR1|TLR9|CD3E|AIM2|CARD9|PRKCZ|GATA3|IRF4|LILRB4|ACE2|TNF|TRPV4|TLR5","55687","17893|17803|17935|18121|18130|17944|17821|17812|18124|18070|17965|17791|18067|18019|17857|18145|18148|18151|17962|18139|17983|17899|18103|18001|17887|18010|17875|17845","7.74E-18","","GO:0001817","1.4216811308924742","0"
"2019","42","GO Biological Process","","Cellular response to organic substance","6.98E-15","TBX21|OSM|HGF|CCR7|KLB|RORA|WNT5A|PDE3B|PPARG|ACE|CCR2|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|CCR6|NR3C2|CX3CR1|STAT4|TLR9|NR5A2|SGK1|AIM2|ABCA1|PRKCZ|GATA3|LY86|LILRB4|TRPM2|TNF|TRIB3|MME|LDLR|CCL5|CCL4|ACACA|TLR5","55687","17893|17935|18130|17944|17890|17821|17812|18049|18040|17896|18124|18133|18013|18007|17776|17908|17941|17992|18019|17857|18136|18079|18145|17953|18148|17830|17917|17962|17923|17983|17899|17905|18001|17773|18010|18097|18109|17878|17989|18100|17920|17845","9.35E-18","","GO:0071310","1.415614457737684","0"
"2609","47","GO Biological Process","","Cellular response to chemical stimulus","7.02E-15","TBX21|OSM|RIPK3|HGF|MPO|CCR7|KLB|RORA|WNT5A|PPARGC1A|PDE3B|PPARG|ACE|CCR2|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|CCR6|NR3C2|CX3CR1|STAT4|TLR9|NR5A2|SGK1|AIM2|CYP2J2|ABCA1|PRKCZ|GATA3|LY86|LILRB4|TRPM2|TNF|TRPV4|TRIB3|MME|LDLR|CCL5|CCL4|ACACA|TLR5","55687","17893|17935|18121|18130|17785|17944|17890|17821|17812|17956|18049|18040|17896|18124|18133|18013|18007|17776|17908|17941|17992|18019|17857|18136|18079|18145|17953|18148|17830|17917|17962|17986|17923|17983|17899|17905|18001|17773|18010|17875|18097|18109|17878|17989|18100|17920|17845","9.84E-18","","GO:0070887","1.4153662887870193","0"
"1321","35","GO Biological Process","","Immune response","7.79E-15","TBX21|MIF|OSM|CYP27B1|CCR7|RORA|NLRC5|WNT5A|PPARG|CCR2|CCR5|F2RL1|ADORA2B|CD28|RORC|CD86|NLRP3|CCR6|CX3CR1|TLR9|CD3E|AIM2|CARD9|ADA|GATA3|LY86|IRF4|LILRB4|CD8A|TNF|DOCK2|SARM1|CCL5|CCL4|TLR5","55687","17893|17803|17935|17872|17944|17821|18085|17812|18040|18124|18133|17965|17791|18067|17992|18019|17857|18136|18145|18148|18151|17962|18139|17926|17899|17905|18103|18001|17806|18010|17950|18058|17989|18100|17845","1.14E-17","","GO:0006955","1.4108462542327436","0"
"1525","37","GO Biological Process","","Positive regulation of signal transduction","1.03E-14","MIF|OSM|RIPK3|HGF|CYP27B1|CCR7|KLB|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|S100B|F2RL1|FABP5|NOS3|ADORA2B|SLC2A4|CD28|CD86|NR3C2|CX3CR1|TLR9|CD3E|CARD9|ADA|PRKCZ|GATA3|XDH|LY86|TNF|TRPV4|AGAP2|GIPR|CCL5|CCL4|TLR5","55687","17803|17935|18121|18130|17872|17944|17890|18085|17812|17998|18040|17938|17977|17965|18025|18013|17791|17941|18067|18019|18079|18145|18148|18151|18139|17926|17983|17899|17800|17905|18010|17875|18082|17818|17989|18100|17845","1.57E-17","","GO:0009967","1.3987162775294828","0"
"844","29","GO Biological Process","","Regulation of immune response","1.36E-14","TBX21|USP18|RIPK3|CCR7|NLRC5|WNT5A|PPARG|NCR1|CCR2|F2RL1|ADORA2B|CD28|CD86|NLRP3|GATA2|TLR9|CD3E|AIM2|CARD9|ADA|PRKCZ|GATA3|IRF4|LILRB4|CD8A|TNF|SARM1|CCL5|TLR5","55687","17893|17971|18121|17944|18085|17812|18040|17929|18124|17965|17791|18067|18019|17857|17842|18148|18151|17962|18139|17926|17983|17899|18103|18001|17806|18010|18058|17989|17845","2.18E-17","","GO:0050776","1.3866461091629783","0"
"7835","77","GO Biological Process","","Response to stimulus","1.39E-14","TBX21|MIF|OSM|USP18|RIPK3|AMH|HGF|MPO|CYP27B1|CCR7|KLB|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|NCR1|CCR2|CCR5|MERTK|F2RL1|NOS3|PCSK9|ADORA2B|PPARGC1B|ANGPT2|SLC2A4|CD28|RORC|CD86|NLRP3|CCR6|GATA2|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|CYP2J2|CARD9|ADA|ABCA1|PRKCZ|GATA3|LY86|IRF4|CCM2|LILRB4|NRG4|ADM2|TRPM2|CD8A|SENP1|TNF|HMGA1|TRPV4|TRIB3|MME|DOCK2|AGAP2|LDLR|GIPR|SARM1|CCL5|CCL4|ACACA|DAPK2|TLR5|SOCS7","55687","17893|17803|17935|17971|18121|17869|18130|17785|17872|17944|17890|17821|18085|17812|17956|17968|18049|18040|17938|17896|17929|18124|18133|18070|17965|18013|18007|17791|17776|17908|17941|18067|17992|18019|17857|18136|17842|18079|18145|17953|17866|18148|18151|17830|17917|17962|17986|18139|17926|17923|17983|17899|17905|18103|18088|18001|18118|17881|17773|17806|18091|18010|17914|17875|18097|18109|17950|18082|17878|17818|18058|17989|18100|17920|17836|17845|17848","2.31E-17","","GO:0050896","1.3856985199745906","0"
"1547","37","GO Biological Process","","Response to oxygen-containing compound","1.45E-14","RIPK3|MPO|CYP27B1|CCR7|RORA|WNT5A|PDE3B|PPARG|ACE|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|CX3CR1|STAT4|TLR9|SGK1|CARD9|ABCA1|PRKCZ|GATA3|LY86|TRPM2|TNF|TRPV4|TRIB3|LDLR|GIPR|SARM1|CCL5|ACACA|TLR5","55687","18121|17785|17872|17944|17821|17812|18049|18040|17896|18133|18013|18007|17776|17908|17941|17992|18019|17857|18145|17953|18148|17917|18139|17923|17983|17899|17905|17773|18010|17875|18097|17878|17818|18058|17989|17920|17845","2.49E-17","","GO:1901700","1.3838631997765025","0"
"453","23","GO Biological Process","","Positive regulation of response to external stimulus","1.52E-14","MIF|OSM|CCR7|NLRC5|WNT5A|ACE|CCR2|F2RL1|ADORA2B|CD28|NLRP3|CCR6|CX3CR1|TLR9|AIM2|CARD9|LY86|TNF|TRPV4|LDLR|CCL5|CCL4|DAPK2","55687","17803|17935|17944|18085|17812|17896|18124|17965|17791|18067|17857|18136|18145|18148|17962|18139|17905|18010|17875|17878|17989|18100|17836","2.72E-17","","GO:0032103","1.3818156412055227","0"
"658","26","GO Biological Process","","Regulation of cell activation","3.03E-14","TBX21|MIF|RIPK3|CCR7|RORA|WNT5A|CCR2|MERTK|F2RL1|NOS3|ADORA2B|CD28|CD86|NLRP3|GATA2|DPP4|TLR9|CD3E|ADA|PRKCZ|GATA3|IRF4|LILRB4|TNF|LDLR|CCL5","55687","17893|17803|18121|17944|17821|17812|18124|18070|17965|18013|17791|18067|18019|17857|17842|17866|18148|18151|17926|17983|17899|18103|18001|18010|17878|17989","5.6E-17","","GO:0050865","1.3518557371497695","0"
"601","25","GO Biological Process","","Regulation of leukocyte activation","4.15E-14","TBX21|MIF|RIPK3|CCR7|RORA|WNT5A|CCR2|MERTK|F2RL1|ADORA2B|CD28|CD86|NLRP3|GATA2|DPP4|TLR9|CD3E|ADA|PRKCZ|GATA3|IRF4|LILRB4|TNF|LDLR|CCL5","55687","17893|17803|18121|17944|17821|17812|18124|18070|17965|17791|18067|18019|17857|17842|17866|18148|18151|17926|17983|17899|18103|18001|18010|17878|17989","7.94E-17","","GO:0002694","1.3381951903287908","0"
"5165","63","GO Biological Process","","Cell communication","4.2E-14","MIF|OSM|RIPK3|AMH|HGF|CCR7|KLB|RORA|NLRC5|WNT5A|SFRP5|PDE3B|PPARG|NRG1|NCR1|CCR2|CCR5|MERTK|F2RL1|NOS3|PCSK9|ADORA2B|PPARGC1B|ANGPT2|CD28|RORC|CD86|NLRP3|CCR6|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|CARD9|ADA|ABCA1|PRKCZ|GATA3|LY86|CCM2|LILRB4|NRG4|ADM2|TRPM2|CD8A|SENP1|TNF|TRPV4|TRIB3|DOCK2|AGAP2|GIPR|SARM1|CCL5|CCL4|DAPK2|TLR5|SOCS7","55687","17803|17935|18121|17869|18130|17944|17890|17821|18085|17812|17968|18049|18040|17938|17929|18124|18133|18070|17965|18013|18007|17791|17776|17908|18067|17992|18019|17857|18136|18079|18145|17953|17866|18148|18151|17830|17917|17962|18139|17926|17923|17983|17899|17905|18088|18001|18118|17881|17773|17806|18091|18010|17875|18097|17950|18082|17818|18058|17989|18100|17836|17845|17848","8.3E-17","","GO:0007154","1.3376750709602099","0"
