"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"2749","54","GO Biological Process","","Regulation of multicellular organismal process","6.34E-17","CEACAM1|TBX21|MIF|OSM|RIPK3|HGF|CCR7|RORA|WNT5A|PPARGC1A|PDE3B|PPARG|NRG1|ACE|CCR2|MERTK|F2RL1|NOS3|ADORA2B|PPARGC1B|ANGPT2|MET|CD28|CD86|NLRP3|GATA2|ARG1|CX3CR1|TLR9|CD3E|SGK1|RBP4|CARD9|ADA|LCN2|ABCA1|PRKCZ|IRF4|LILRB4|ADM2|CYP19A1|POMC|NPPC|ACE2|TNF|AGTR1|TRPV4|MME|NR4A1|AGAP2|LDLR|TLR5|SOCS1|ENPP1","40149","18037|17893|17803|17935|18121|18130|17944|17821|17812|17956|18049|18040|17938|17896|18124|18070|17965|18013|17791|17776|17908|17860|18067|18019|17857|17842|18034|18145|18148|18151|17917|17980|18139|17926|17779|17923|17983|18103|18001|17881|18064|17851|18031|17887|18010|17911|17875|18109|17884|18082|17878|17845|17932|18004","4.78E-20","","GO:0051239","1.6197910742118267","0"
"638","29","GO Biological Process","","Regulation of defense response","4.25E-16","CEACAM1|OSM|USP18|HGF|CCR7|GGT1|RORA|NLRC5|WNT5A|PPARG|ACE|CCR2|F2RL1|ADORA2B|CD28|NLRP3|ARG1|TLR9|CARD9|ADA|CYP19A1|POMC|ACE2|TNF|AGTR1|TRPV4|LDLR|CCL5|SOCS1","40149","18037|17935|17971|18130|17944|18106|17821|18085|17812|18040|17896|18124|17965|17791|18067|17857|18034|18148|18139|17926|18064|17851|17887|18010|17911|17875|17878|17989|17932","3.52E-19","","GO:0031347","1.5371611069949689","0"
"7835","85","GO Biological Process","","Response to stimulus","8.81E-16","CEACAM1|TBX21|MIF|OSM|USP18|RIPK3|AQP9|AMH|HGF|GCK|MPO|CCR7|IL1RN|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|CCR2|CCR5|MERTK|F2RL1|NOS3|ADORA2B|PPARGC1B|ANGPT2|MET|CD28|RORC|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|RBP4|CARD9|ADA|LCN2|ABCA1|PRKCZ|LY86|IRF4|LILRB4|NRG4|ADM2|CYP19A1|TRPM2|POMC|CD8A|NPPC|SENP1|TNF|AGTR1|HMGA1|TRPV4|TRIB3|MME|DOCK2|CYP2E1|NR4A1|AGAP2|GPR84|LDLR|GIPR|SARM1|CCL5|ANGPTL8|CCL4|ACACA|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","40149","18037|17893|17803|17935|17971|18121|18055|17869|18130|18112|17785|17944|17794|17821|18085|17812|17956|17968|18049|18040|17938|17896|18124|18133|18070|17965|18013|17791|17776|17908|17860|18067|17992|18019|17857|17842|18034|18079|18145|17953|17866|18148|18151|17830|17917|17980|18139|17926|17779|17923|17983|17905|18103|18001|18118|17881|18064|17773|17851|17806|18031|18091|18010|17911|17914|17875|18097|18109|17950|17782|17884|18082|18046|17878|17818|18058|17989|17902|18100|17920|17836|17845|17932|18004|17848","7.86E-19","","GO:0050896","1.5055024091587952","0"
"1505","40","GO Biological Process","","Positive regulation of multicellular organismal process","1.51E-15","TBX21|MIF|OSM|HGF|CCR7|RORA|WNT5A|PPARGC1A|PPARG|NRG1|ACE|CCR2|F2RL1|NOS3|ADORA2B|PPARGC1B|ANGPT2|CD28|CD86|NLRP3|GATA2|CX3CR1|TLR9|CD3E|CARD9|ADA|LCN2|ABCA1|PRKCZ|IRF4|LILRB4|ADM2|CYP19A1|ACE2|TNF|TRPV4|MME|AGAP2|TLR5|SOCS1","40149","17893|17803|17935|18130|17944|17821|17812|17956|18040|17938|17896|18124|17965|18013|17791|17776|17908|18067|18019|17857|17842|18145|18148|18151|18139|17926|17779|17923|17983|18103|18001|17881|18064|17887|18010|17875|18109|18082|17845|17932","1.44E-18","","GO:0051240","1.4821023052706832","0"
"739","30","GO Biological Process","","Regulation of cytokine production","1.52E-15","CEACAM1|TBX21|MIF|OSM|RIPK3|HGF|CCR7|RORA|WNT5A|CCR2|MERTK|F2RL1|ADORA2B|CD28|CD86|NLRP3|ARG1|CX3CR1|TLR9|CD3E|CARD9|PRKCZ|IRF4|LILRB4|POMC|ACE2|TNF|TRPV4|TLR5|SOCS1","40149","18037|17893|17803|17935|18121|18130|17944|17821|17812|18124|18070|17965|17791|18067|18019|17857|18034|18145|18148|18151|18139|17983|18103|18001|17851|17887|18010|17875|17845|17932","1.55E-18","","GO:0001817","1.4818156412055228","0"
"453","25","GO Biological Process","","Positive regulation of response to external stimulus","1.81E-15","MIF|OSM|CCR7|NLRC5|WNT5A|ACE|CCR2|F2RL1|ADORA2B|MET|CD28|NLRP3|ARG1|CX3CR1|TLR9|CARD9|LY86|POMC|TNF|AGTR1|TRPV4|LDLR|CCL5|CCL4|DAPK2","40149","17803|17935|17944|18085|17812|17896|18124|17965|17791|17860|18067|17857|18034|18145|18148|18139|17905|17851|18010|17911|17875|17878|17989|18100|17836","1.97E-18","","GO:0032103","1.4742321425130815","0"
"2121","46","GO Biological Process","","Immune system process","2.85E-15","TBX21|MIF|OSM|RIPK3|MPO|CCR7|IL1RN|RORA|NLRC5|WNT5A|PPARG|ACE|CCR2|CCR5|MERTK|F2RL1|ADORA2B|CD248|CD28|RORC|CD86|NLRP3|GATA2|ARG1|CX3CR1|DPP4|TLR9|CD3E|CARD9|ADA|LCN2|LY86|IRF4|LILRB4|TRPM2|POMC|CD8A|TNF|DOCK2|SARM1|CCL5|KCP|CCL4|TLR5|SOCS1|ENPP1","40149","17893|17803|17935|18121|17785|17944|17794|17821|18085|17812|18040|17896|18124|18133|18070|17965|17791|18115|18067|17992|18019|17857|17842|18034|18145|17866|18148|18151|18139|17926|17779|17905|18103|18001|17773|17851|17806|18010|17950|18058|17989|18043|18100|17845|17932|18004","3.27E-18","","GO:0002376","1.454515513999149","0"
"1057","34","GO Biological Process","","Cellular response to oxygen-containing compound","3.94E-15","CEACAM1|RIPK3|AQP9|GCK|MPO|RORA|WNT5A|PDE3B|PPARG|ACE|CCR5|NOS3|PPARGC1B|RORC|CD86|NLRP3|ARG1|CX3CR1|TLR9|SGK1|ABCA1|PRKCZ|LY86|TRPM2|TNF|AGTR1|TRIB3|NR4A1|LDLR|CCL5|ACACA|TLR5|SOCS1|ENPP1","40149","18037|18121|18055|18112|17785|17821|17812|18049|18040|17896|18133|18013|17776|17992|18019|17857|18034|18145|18148|17917|17923|17983|17905|17773|18010|17911|18097|17884|17878|17989|17920|17845|17932|18004","4.77E-18","","GO:1901701","1.4404503778174427","0"
"4714","66","GO Biological Process","","Signal transduction","6.58E-15","CEACAM1|MIF|OSM|RIPK3|AMH|HGF|CCR7|IL1RN|RORA|NLRC5|WNT5A|SFRP5|PDE3B|PPARG|NRG1|CCR2|CCR5|MERTK|F2RL1|NOS3|ADORA2B|PPARGC1B|ANGPT2|MET|CD28|RORC|CD86|NLRP3|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|CARD9|ADA|ABCA1|PRKCZ|LY86|LILRB4|NRG4|ADM2|TRPM2|POMC|CD8A|NPPC|SENP1|TNF|AGTR1|TRPV4|TRIB3|DOCK2|NR4A1|AGAP2|GPR84|GIPR|SARM1|CCL5|ANGPTL8|CCL4|DAPK2|TLR5|SOCS1|SOCS7","40149","18037|17803|17935|18121|17869|18130|17944|17794|17821|18085|17812|17968|18049|18040|17938|18124|18133|18070|17965|18013|17791|17776|17908|17860|18067|17992|18019|17857|18079|18145|17953|17866|18148|18151|17830|17917|18139|17926|17923|17983|17905|18001|18118|17881|17773|17851|17806|18031|18091|18010|17911|17875|18097|17950|17884|18082|18046|17818|18058|17989|17902|18100|17836|17845|17932|17848","8.39E-18","","GO:0007165","1.4181774106386045","0"
"658","28","GO Biological Process","","Regulation of cell activation","6.58E-15","CEACAM1|TBX21|MIF|RIPK3|CCR7|RORA|WNT5A|CCR2|MERTK|F2RL1|NOS3|ADORA2B|CD28|CD86|NLRP3|GATA2|ARG1|DPP4|TLR9|CD3E|ADA|PRKCZ|IRF4|LILRB4|TNF|LDLR|CCL5|SOCS1","40149","18037|17893|17803|18121|17944|17821|17812|18124|18070|17965|18013|17791|18067|18019|17857|17842|18034|17866|18148|18151|17926|17983|18103|18001|18010|17878|17989|17932","8.47E-18","","GO:0050865","1.4181774106386045","0"
"601","27","GO Biological Process","","Regulation of leukocyte activation","7.07E-15","CEACAM1|TBX21|MIF|RIPK3|CCR7|RORA|WNT5A|CCR2|MERTK|F2RL1|ADORA2B|CD28|CD86|NLRP3|GATA2|ARG1|DPP4|TLR9|CD3E|ADA|PRKCZ|IRF4|LILRB4|TNF|LDLR|CCL5|SOCS1","40149","18037|17893|17803|18121|17944|17821|17812|18124|18070|17965|17791|18067|18019|17857|17842|18034|17866|18148|18151|17926|17983|18103|18001|18010|17878|17989|17932","9.92E-18","","GO:0002694","1.41505805862031","0"
"1693","41","GO Biological Process","","Positive regulation of cell communication","8.0E-15","MIF|OSM|RIPK3|HGF|GCK|CCR7|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|S100B|CCR2|F2RL1|NOS3|ADORA2B|MET|CD28|CD86|NR3C2|CX3CR1|TLR9|CD3E|RBP4|CARD9|ADA|PRKCZ|LY86|CYP19A1|TRPM2|POMC|NPPC|TNF|TRPV4|MME|AGAP2|GIPR|CCL5|KCP|CCL4|TLR5","40149","17803|17935|18121|18130|18112|17944|18085|17812|17998|18040|17938|17977|18124|17965|18013|17791|17860|18067|18019|18079|18145|18148|18151|17980|18139|17926|17983|17905|18064|17773|17851|18031|18010|17875|18109|18082|17818|17989|18043|18100|17845","1.17E-17","","GO:0010647","1.4096910013008057","0"
"1698","41","GO Biological Process","","Positive regulation of signaling","8.49E-15","MIF|OSM|RIPK3|HGF|GCK|CCR7|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|S100B|CCR2|F2RL1|NOS3|ADORA2B|MET|CD28|CD86|NR3C2|CX3CR1|TLR9|CD3E|RBP4|CARD9|ADA|PRKCZ|LY86|CYP19A1|TRPM2|POMC|NPPC|TNF|TRPV4|MME|AGAP2|GIPR|CCL5|KCP|CCL4|TLR5","40149","17803|17935|18121|18130|18112|17944|18085|17812|17998|18040|17938|17977|18124|17965|18013|17791|17860|18067|18019|18079|18145|18148|18151|17980|18139|17926|17983|17905|18064|17773|17851|18031|18010|17875|18109|18082|17818|17989|18043|18100|17845","1.3E-17","","GO:0023056","1.4071092309756046","0"
"874","31","GO Biological Process","","Positive regulation of immune system process","9.23E-15","TBX21|MIF|CCR7|NLRC5|WNT5A|CCR2|F2RL1|ADORA2B|PPARGC1B|CD28|CD86|NLRP3|GATA2|ARG1|CX3CR1|DPP4|TLR9|CD3E|RBP4|CARD9|ADA|PRKCZ|LILRB4|POMC|CD8A|TNF|TRPV4|CCL5|CCL4|DAPK2|SOCS1","40149","17893|17803|17944|18085|17812|18124|17965|17791|17776|18067|18019|17857|17842|18034|18145|17866|18148|18151|17980|18139|17926|17983|18001|17851|17806|18010|17875|17989|18100|17836|17932","1.47E-17","","GO:0002684","1.403479829897409","0"
"1612","40","GO Biological Process","","Negative regulation of response to stimulus","9.23E-15","CEACAM1|TBX21|MIF|USP18|HGF|IL1RN|RORA|NLRC5|WNT5A|SFRP5|PDE3B|PPARG|NRG1|CCR2|F2RL1|NOS3|ANGPT2|MET|NLRP3|GATA2|ARG1|CX3CR1|DPP4|TLR9|CD3E|ADA|PRKCZ|IRF4|LILRB4|CYP19A1|ACE2|TNF|AGAP2|LDLR|GIPR|SARM1|CCL5|SOCS1|ENPP1|SOCS7","40149","18037|17893|17803|17971|18130|17794|17821|18085|17812|17968|18049|18040|17938|18124|17965|18013|17908|17860|17857|17842|18034|18145|17866|18148|18151|17926|17983|18103|18001|18064|17887|18010|18082|17878|17818|18058|17989|17932|18004|17848","1.52E-17","","GO:0048585","1.403479829897409","0"
"2019","44","GO Biological Process","","Cellular response to organic substance","1.26E-14","CEACAM1|TBX21|OSM|AQP9|HGF|GCK|CCR7|RORA|WNT5A|PDE3B|PPARG|ACE|CCR2|CCR5|NOS3|PPARGC1B|ANGPT2|RORC|CD86|NLRP3|ARG1|NR3C2|CX3CR1|STAT4|TLR9|NR5A2|SGK1|ABCA1|PRKCZ|LY86|LILRB4|TRPM2|TNF|AGTR1|TRIB3|MME|NR4A1|LDLR|CCL5|CCL4|ACACA|TLR5|SOCS1|ENPP1","40149","18037|17893|17935|18055|18130|18112|17944|17821|17812|18049|18040|17896|18124|18133|18013|17776|17908|17992|18019|17857|18034|18079|18145|17953|18148|17830|17917|17923|17983|17905|18001|17773|18010|17911|18097|18109|17884|17878|17989|18100|17920|17845|17932|18004","2.17E-17","","GO:0071310","1.3899629454882436","0"
"1726","41","GO Biological Process","","Regulation of intracellular signal transduction","1.29E-14","CEACAM1|MIF|OSM|RIPK3|HGF|CCR7|RORA|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|S100B|F2RL1|ADORA2B|MET|CD28|CD86|NLRP3|NR3C2|CX3CR1|TLR9|CD3E|SGK1|CARD9|ADA|ABCA1|PRKCZ|LILRB4|POMC|NPPC|ACE2|TNF|TRPV4|DOCK2|AGAP2|GIPR|CCL5|CCL4|DAPK2","40149","18037|17803|17935|18121|18130|17944|17821|17812|17998|17968|18049|18040|17938|17977|17965|17791|17860|18067|18019|17857|18079|18145|18148|18151|17917|18139|17926|17923|17983|18001|17851|18031|17887|18010|17875|17950|18082|17818|17989|18100|17836","2.3E-17","","GO:1902531","1.388941028970075","0"
"2131","45","GO Biological Process","","Positive regulation of response to stimulus","1.37E-14","TBX21|MIF|OSM|RIPK3|HGF|CCR7|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|NOS3|ADORA2B|MET|CD28|CD86|NLRP3|GATA2|ARG1|NR3C2|CX3CR1|TLR9|CD3E|CARD9|ADA|PRKCZ|LY86|POMC|CD8A|NPPC|TNF|AGTR1|TRPV4|AGAP2|LDLR|GIPR|CCL5|KCP|CCL4|DAPK2|TLR5","40149","17893|17803|17935|18121|18130|17944|18085|17812|17998|18040|17938|17896|17977|18124|17965|18013|17791|17860|18067|18019|17857|17842|18034|18079|18145|18148|18151|18139|17926|17983|17905|17851|17806|18031|18010|17911|17875|18082|17878|17818|17989|18043|18100|17836|17845","2.54E-17","","GO:0048584","1.3863279432843592","0"
