"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1438","52","GO Biological Process","","Regulation of immune system process","1.28E-22","CEACAM1|TBX21|MIF|USP18|RIPK3|LBP|IFNG|CCR7|GGT1|RORA|NLRC5|WNT5A|PPARG|NCR1|CCR2|MERTK|F2RL1|ADORA2B|PPARGC1B|CD28|CD86|NLRP3|CCR6|GATA2|ARG1|CX3CR1|CCL20|DPP4|TLR9|CD3E|AIM2|RBP4|CARD9|ADA|TREM2|PRKCZ|GATA3|IRF4|LILRB4|CYP19A1|GPER1|POMC|CD8A|TNF|TRPV4|LDLR|SARM1|CCL5|CCL4|DAPK2|TLR5|SOCS1","17588","18037|17893|17803|17971|18121|17815|17947|17944|18106|17821|18085|17812|18040|17929|18124|18070|17965|17791|17776|18067|18019|17857|18136|17842|18034|18145|17863|17866|18148|18151|17962|17980|18139|17926|18073|17983|17899|18103|18001|18064|18094|17851|17806|18010|17875|17878|18058|17989|18100|17836|17845|17932","8.96E-26","","GO:0002682","2.189279003035213","0"
"2131","61","GO Biological Process","","Positive regulation of response to stimulus","1.87E-22","TBX21|MIF|OSM|RIPK3|LBP|HGF|CYP27B1|IFNG|CCR7|KLB|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|FABP5|NOS3|PRL|ADORA2B|MET|SLC2A4|CD28|CD86|NLRP3|CCR6|ATF3|GATA2|ARG1|NR3C2|CX3CR1|CCL20|TLR9|CD3E|AIM2|CARD9|ADA|TREM2|GHRH|PRKCZ|GATA3|XDH|LY86|GPER1|POMC|CD8A|NPPC|TNF|AGTR1|TRPV4|AGAP2|LDLR|GIPR|CCL5|KCP|CCL4|DAPK2|TLR5","17588","17893|17803|17935|18121|17815|18130|17872|17947|17944|17890|18085|17812|17998|18040|17938|17896|17977|18124|17965|18025|18013|17824|17791|17860|17941|18067|18019|17857|18136|17854|17842|18034|18079|18145|17863|18148|18151|17962|18139|17926|18073|18028|17983|17899|17800|17905|18094|17851|17806|18031|18010|17911|17875|18082|17878|17818|17989|18043|18100|17836|17845","1.43E-25","","GO:0048584","2.17281583934635","0"
"6207","97","GO Biological Process","","Positive regulation of biological process","6.36E-22","CEACAM1|TBX21|MIF|OSM|RIPK3|LBP|AMH|HGF|GCK|CYP27B1|IFNG|CCR7|KLB|RORA|NLRC5|WNT5A|DNAJC27|PPARGC1A|PPARG|NRG1|ACE|S100B|CCR2|MERTK|F2RL1|FABP5|NOS3|PRL|PCSK9|ADORA2B|CD248|PPARGC1B|ANGPT2|MET|SLC2A4|CD28|RORC|CD86|NLRP3|CCR6|ATF3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|CCL20|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|RBP4|CARD9|ADA|LCN2|TREM2|GHRH|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|SIRT3|LILRB4|ADM2|CYP19A1|FITM2|GPER1|TRPM2|POMC|CD8A|NPPC|ACE2|SENP1|TNF|AGTR1|HMGA1|TRPV4|TRIB3|MME|DOCK2|CSRP3|NR4A1|AGAP2|LDLR|GIPR|SARM1|CCL5|KCP|ANGPTL8|CCL4|DAPK2|TLR5|SOCS1","17588","18037|17893|17803|17935|18121|17815|17869|18130|18112|17872|17947|17944|17890|17821|18085|17812|17998|17956|18040|17938|17896|17977|18124|18070|17965|18025|18013|17824|18007|17791|18115|17776|17908|17860|17941|18067|17992|18019|17857|18136|17854|17842|18034|18079|18145|17953|17863|17866|18148|18151|17830|17917|17962|17980|18139|17926|17779|18073|18028|17923|17983|17899|17800|17905|18103|17959|18001|17881|18064|18076|18094|17773|17851|17806|18031|17887|18091|18010|17911|17914|17875|18097|18109|17950|18052|17884|18082|17878|17818|18058|17989|18043|17902|18100|17836|17845|17932","5.27E-25","","GO:0048518","2.1196542884351586","0"
"7835","107","GO Biological Process","","Response to stimulus","1.02E-21","CEACAM1|TBX21|MIF|OSM|USP18|RIPK3|MACROD2|LBP|AQP9|AMH|HGF|GCK|MPO|CYP27B1|IFNG|CCR7|KLB|IL1RN|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|NCR1|CCR2|CCR5|MERTK|F2RL1|NOS3|PRL|PCSK9|ADORA2B|PPARGC1B|ANGPT2|MET|SLC2A4|CD28|RORC|CD86|NLRP3|CCR6|ATF3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|CCL20|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|DUSP5|CYP2J2|RBP4|CARD9|ADA|LCN2|TREM2|GHRH|ABCA1|PRKCZ|GATA3|LY86|IRF4|CCM2|LILRB4|NRG4|ADM2|CYP19A1|GPER1|TRPM2|POMC|CD8A|NPPC|SENP1|TNF|AGTR1|HMGA1|TRPV4|TRIB3|MME|DOCK2|CSRP3|RGS5|CYP2E1|NR4A1|AGAP2|GPR84|LDLR|GIPR|SARM1|CCL5|ANGPTL8|CCL4|ACACA|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","17588","18037|17893|17803|17935|17971|18121|18127|17815|18055|17869|18130|18112|17785|17872|17947|17944|17890|17794|17821|18085|17812|17956|17968|18049|18040|17938|17896|17929|18124|18133|18070|17965|18013|17824|18007|17791|17776|17908|17860|17941|18067|17992|18019|17857|18136|17854|17842|18034|18079|18145|17953|17863|17866|18148|18151|17830|17917|17962|17833|17986|17980|18139|17926|17779|18073|18028|17923|17983|17899|17905|18103|18088|18001|18118|17881|18064|18094|17773|17851|17806|18031|18091|18010|17911|17914|17875|18097|18109|17950|18052|17839|17782|17884|18082|18046|17878|17818|18058|17989|17902|18100|17920|17836|17845|17932|18004|17848","9.13E-25","","GO:0050896","2.099139982823808","0"
"1693","54","GO Biological Process","","Positive regulation of cell communication","2.53E-21","MIF|OSM|RIPK3|LBP|HGF|GCK|CYP27B1|CCR7|KLB|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|S100B|CCR2|F2RL1|FABP5|NOS3|PRL|ADORA2B|MET|SLC2A4|CD28|CD86|ATF3|NR3C2|CX3CR1|CCL20|TLR9|CD3E|RBP4|CARD9|ADA|TREM2|GHRH|PRKCZ|GATA3|XDH|LY86|CYP19A1|GPER1|TRPM2|POMC|NPPC|TNF|TRPV4|MME|AGAP2|GIPR|CCL5|KCP|CCL4|TLR5","17588","17803|17935|18121|17815|18130|18112|17872|17944|17890|18085|17812|17998|18040|17938|17977|18124|17965|18025|18013|17824|17791|17860|17941|18067|18019|17854|18079|18145|17863|18148|18151|17980|18139|17926|18073|18028|17983|17899|17800|17905|18064|18094|17773|17851|18031|18010|17875|18109|18082|17818|17989|18043|18100|17845","2.42E-24","","GO:0010647","2.059687947882418","0"
"1698","54","GO Biological Process","","Positive regulation of signaling","2.73E-21","MIF|OSM|RIPK3|LBP|HGF|GCK|CYP27B1|CCR7|KLB|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|S100B|CCR2|F2RL1|FABP5|NOS3|PRL|ADORA2B|MET|SLC2A4|CD28|CD86|ATF3|NR3C2|CX3CR1|CCL20|TLR9|CD3E|RBP4|CARD9|ADA|TREM2|GHRH|PRKCZ|GATA3|XDH|LY86|CYP19A1|GPER1|TRPM2|POMC|NPPC|TNF|TRPV4|MME|AGAP2|GIPR|CCL5|KCP|CCL4|TLR5","17588","17803|17935|18121|17815|18130|18112|17872|17944|17890|18085|17812|17998|18040|17938|17977|18124|17965|18025|18013|17824|17791|17860|17941|18067|18019|17854|18079|18145|17863|18148|18151|17980|18139|17926|18073|18028|17983|17899|17800|17905|18064|18094|17773|17851|18031|18010|17875|18109|18082|17818|17989|18043|18100|17845","2.78E-24","","GO:0023056","2.0563837352959244","0"
"638","36","GO Biological Process","","Regulation of defense response","1.63E-20","CEACAM1|OSM|USP18|LBP|HGF|IFNG|CCR7|GGT1|RORA|NLRC5|WNT5A|PPARG|ACE|NCR1|CCR2|F2RL1|ADORA2B|CD28|NLRP3|ARG1|TLR9|AIM2|CARD9|ADA|TREM2|GATA3|CYP19A1|GPER1|POMC|ACE2|TNF|AGTR1|TRPV4|LDLR|CCL5|SOCS1","17588","18037|17935|17971|17815|18130|17947|17944|18106|17821|18085|17812|18040|17896|17929|18124|17965|17791|18067|17857|18034|18148|17962|18139|17926|18073|17899|18064|18094|17851|17887|18010|17911|17875|17878|17989|17932","1.77E-23","","GO:0031347","1.9787812395596043","0"
"2019","57","GO Biological Process","","Cellular response to organic substance","2.26E-20","CEACAM1|TBX21|OSM|LBP|AQP9|HGF|GCK|IFNG|CCR7|KLB|RORA|WNT5A|PDE3B|PPARG|ACE|CCR2|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|CCR6|ATF3|ARG1|NR3C2|CX3CR1|STAT4|CCL20|TLR9|NR5A2|SGK1|AIM2|TREM2|ABCA1|PRKCZ|GATA3|LY86|LILRB4|GPER1|TRPM2|TNF|AGTR1|TRIB3|MME|CSRP3|NR4A1|LDLR|CCL5|CCL4|ACACA|TLR5|SOCS1|ENPP1","17588","18037|17893|17935|17815|18055|18130|18112|17947|17944|17890|17821|17812|18049|18040|17896|18124|18133|18013|18007|17776|17908|17941|17992|18019|17857|18136|17854|18034|18079|18145|17953|17863|18148|17830|17917|17962|18073|17923|17983|17899|17905|18001|18094|17773|18010|17911|18097|18109|18052|17884|17878|17989|18100|17920|17845|17932|18004","2.59E-23","","GO:0071310","1.96458915608526","0"
"1505","50","GO Biological Process","","Positive regulation of multicellular organismal process","3.65E-20","TBX21|MIF|OSM|LBP|HGF|CYP27B1|IFNG|CCR7|RORA|WNT5A|PPARGC1A|PPARG|NRG1|ACE|CCR2|F2RL1|FABP5|NOS3|PRL|ADORA2B|PPARGC1B|ANGPT2|CD28|CD86|NLRP3|GATA2|CX3CR1|TLR9|CD3E|AIM2|CARD9|ADA|LCN2|TREM2|GHRH|ABCA1|PRKCZ|GATA3|IRF4|LILRB4|ADM2|CYP19A1|GPER1|ACE2|TNF|TRPV4|MME|AGAP2|TLR5|SOCS1","17588","17893|17803|17935|17815|18130|17872|17947|17944|17821|17812|17956|18040|17938|17896|18124|17965|18025|18013|17824|17791|17776|17908|18067|18019|17857|17842|18145|18148|18151|17962|18139|17926|17779|18073|18028|17923|17983|17899|18103|18001|17881|18064|18094|17887|18010|17875|18109|18082|17845|17932","4.42E-23","","GO:0051240","1.9437707135543527","0"
"4714","83","GO Biological Process","","Signal transduction","6.69E-20","CEACAM1|MIF|OSM|RIPK3|LBP|AMH|HGF|IFNG|CCR7|KLB|IL1RN|RORA|NLRC5|WNT5A|SFRP5|PDE3B|PPARG|NRG1|NCR1|CCR2|CCR5|MERTK|F2RL1|NOS3|PRL|ADORA2B|PPARGC1B|ANGPT2|MET|CD28|RORC|CD86|NLRP3|CCR6|ATF3|NR3C2|CX3CR1|STAT4|CCL20|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|DUSP5|CARD9|ADA|TREM2|GHRH|ABCA1|PRKCZ|GATA3|LY86|CCM2|LILRB4|NRG4|ADM2|GPER1|TRPM2|POMC|CD8A|NPPC|SENP1|TNF|AGTR1|TRPV4|TRIB3|DOCK2|CSRP3|RGS5|NR4A1|AGAP2|GPR84|GIPR|SARM1|CCL5|ANGPTL8|CCL4|DAPK2|TLR5|SOCS1|SOCS7","17588","18037|17803|17935|18121|17815|17869|18130|17947|17944|17890|17794|17821|18085|17812|17968|18049|18040|17938|17929|18124|18133|18070|17965|18013|17824|17791|17776|17908|17860|18067|17992|18019|17857|18136|17854|18079|18145|17953|17863|17866|18148|18151|17830|17917|17962|17833|18139|17926|18073|18028|17923|17983|17899|17905|18088|18001|18118|17881|18094|17773|17851|17806|18031|18091|18010|17911|17875|18097|17950|18052|17839|17884|18082|18046|17818|18058|17989|17902|18100|17836|17845|17932|17848","8.53E-23","","GO:0007165","1.9174573882232178","0"
"2609","63","GO Biological Process","","Cellular response to chemical stimulus","9.31E-20","CEACAM1|TBX21|OSM|RIPK3|LBP|AQP9|HGF|GCK|MPO|IFNG|CCR7|KLB|RORA|WNT5A|PPARGC1A|PDE3B|PPARG|ACE|CCR2|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|CCR6|ATF3|ARG1|NR3C2|CX3CR1|STAT4|CCL20|TLR9|NR5A2|SGK1|AIM2|CYP2J2|TREM2|ABCA1|PRKCZ|GATA3|LY86|LILRB4|GPER1|TRPM2|TNF|AGTR1|TRPV4|TRIB3|MME|CSRP3|CYP2E1|NR4A1|LDLR|CCL5|CCL4|ACACA|TLR5|SOCS1|ENPP1","17588","18037|17893|17935|18121|17815|18055|18130|18112|17785|17947|17944|17890|17821|17812|17956|18049|18040|17896|18124|18133|18013|18007|17776|17908|17941|17992|18019|17857|18136|17854|18034|18079|18145|17953|17863|18148|17830|17917|17962|17986|18073|17923|17983|17899|17905|18001|18094|17773|18010|17911|17875|18097|18109|18052|17782|17884|17878|17989|18100|17920|17845|17932|18004","1.25E-22","","GO:0070887","1.9031050319018656","0"
